commit	aggregate_score	mean_score	status	description
f7a1c69	0.275558	0.886028	keep	baseline
1b51a77	0.275558	0.915522	discard	lower braking_factor 3.5->2.0: no change (tow_truck bottleneck is not curvature-braking-gated -- car_base/trailer_truck got faster but aggregate (=tow_truck) unchanged)
b593c49	0.281397	0.664994	keep	diagnosed tow_truck bottleneck via debug telemetry: it gets permanently wedged (0 velocity even under full reverse -- a rigid physical lock, not just drag) at a specific tight corner because it arrives too fast/late-braking; brake earlier+harder for corners (curvature_preview 12->25, braking_factor 3.5->6.0, min_speed 4->2.5, safety_margin 1.1->0.8), stop braking on climbs (only descents -- braking on a climb only bleeds momentum needed to crest it), add generic stuck-detection+reverse-recovery maneuver. tow_truck avoids the first jam and gets much further before falling off elsewhere, but the much harder braking makes car_base/trailer_truck no longer finish in time (mean 0.886 -> 0.665): 0.275558 -> 0.281397
04c18eb	0.308798	0.747599	keep	ease off the previous experiment's corner braking (curvature_preview 25->18, braking_factor 6.0->4.5, min_speed 2.5->3.0, safety_margin 0.8->0.9): car_base now finishes the whole track again (score 1.128, reason=won), trailer_truck gets much further before falling (0.806), tow_truck still bottleneck but improved too (0.309, no longer falls off, just times out). Both aggregate and mean up: 0.281397 -> 0.308798, mean 0.664994 -> 0.747599
2aa6db8	0.340507	0.754957	keep	lower cross_track_gain 0.75->0.5: less aggressive centerline-correction pull, hypothesized to reduce trailer sway feeding into tow_truck's tight-corner jam. tow_truck reaches further (113m->125m) before running out of time, others roughly unchanged (car_base still wins, trailer still falls off around the same spot): 0.308798 -> 0.340507
a9ac114	0.289661	0.637221	discard	lower cross_track_gain further 0.5->0.3: worse, not better -- with even less correction the car now drifts enough that car_base ALSO falls off (previously it won cleanly), and tow_truck fell off instead of just timing out. Too little cross-track correction lets lateral drift compound. 0.340507 -> 0.289661 (reverted)
e695e1e	0.279074	0.734480	discard	react to being stuck faster and reverse longer (stuck_time_threshold 1.5->0.8, recovery_reverse_time 1.2->2.0): worse -- tow_truck now falls off earlier (102m) instead of just timing out further along (125m); the longer/earlier reverse apparently backs it into trouble rather than freeing it. 0.340507 -> 0.279074 (reverted)
4bf66f4	0.285799	0.834548	discard	enable adaptive lookahead shrink in tight turns (lookahead_curvature_gain 0.0->0.5): mean jumped a lot (0.835, both car_base AND trailer_truck now finish/win) but aggregate got WORSE -- tow_truck regressed back into its earlier jam (104m, fell_off) that cross_track_gain=0.5 had fixed. Aggregate is what's optimized (a policy that only helps its best cars isn't better), so this reverts despite the mean win; worth revisiting combined with a fix for tow_truck's regression. 0.340507 -> 0.285799 (reverted)
1ed293c	0.805367	0.960099	keep	enable partial adaptive lookahead shrink (lookahead_curvature_gain 0.0->0.25, half of the previously-discarded 0.5): gets most of the cornering benefit (car_base wins 1.165, trailer_truck and tow_truck both now reach the end of the lap without falling off, just time_up at 0.81/0.91) without the oscillation that made tow_truck jam again at 0.5. Huge jump on both metrics: 0.340507 -> 0.805367, mean 0.754957 -> 0.960099
1ba33fe	0.805367	0.960099	keep	partial lookahead-curvature shrink 0.0->0.25 (halfway between reverted 0.5 and original 0.0): all three vehicles now finish without falling off (car_base wins, tow_truck and trailer_truck time_up but close), aggregate driven by trailer_truck. Full 0.5 gain caused oscillation that regressed tow_truck (see 4bf66f4); half strength gets corner-tracking benefit without it: 0.340507 -> 0.805367
